"user","assignment","image","params","user_params"
"foo","exercise1","registry.correctomatic.org/correction-test-1",,
"foo","exercise2","registry.correctomatic.org/correction-test-1",,
"bar","exercise1","registry.correctomatic.org/correction-test-1",,
"pagination","e1","pagination-image",,
"pagination","e2","pagination-image",,
"pagination","e3","pagination-image",,
"pagination","e4","pagination-image",,
"pagination","e5","pagination-image",,
"pagination","e6","pagination-image",,
"pagination","e7","pagination-image",,
"pagination","e8","pagination-image",,
"pagination","e9","pagination-image",,
"pagination","e10","pagination-image",,
"pagination","e11","pagination-image",,
"pagination","e12","pagination-image",,
"pagination","e13","pagination-image",,
"pagination","e14","pagination-image",,
"pagination","e15","pagination-image",,
"pagination","e16","pagination-image",,
"pagination","e17","pagination-image",,
"pagination","e18","pagination-image",,
"pagination","e19","pagination-image",,
"pagination","e20","pagination-image",,
"pagination","e21","pagination-image",,
"pagination","e22","pagination-image",,
"pagination","e23","pagination-image",,
"pagination","e24","pagination-image",,
"pagination","e25","pagination-image",,
"pagination","e26","pagination-image",,
"pagination","e27","pagination-image",,
"pagination","e28","pagination-image",,
"pagination","e29","pagination-image",,
"pagination","e30","pagination-image",,
"pagination","e31","pagination-image",,
"pagination","e32","pagination-image",,
"pagination","e33","pagination-image",,
"pagination","e34","pagination-image",,
"pagination","e35","pagination-image",,
"pagination","e36","pagination-image",,
"pagination","e37","pagination-image",,
"pagination","e38","pagination-image",,
"pagination","e39","pagination-image",,
"pagination","e40","pagination-image",,
"pagination","e41","pagination-image",,
"pagination","e42","pagination-image",,
"pagination","e43","pagination-image",,
"pagination","e44","pagination-image",,
"pagination","e45","pagination-image",,
"pagination","e46","pagination-image",,
"pagination","e47","pagination-image",,
"pagination","e48","pagination-image",,
"pagination","e49","pagination-image",,
"pagination","e50","pagination-image",,
"pagination","e51","pagination-image",,
"pagination","e52","pagination-image",,
"pagination","e53","pagination-image",,
"pagination","e54","pagination-image",,
"pagination","e55","pagination-image",,
"pagination","e56","pagination-image",,
"pagination","e57","pagination-image",,
"pagination","e58","pagination-image",,
"pagination","e59","pagination-image",,
"pagination","e60","pagination-image",,
